,TICKER,Sector,Industry,tix_og_adjpx,tix_last_adjpx,cumul_ret
35,SPYV,N/A,Diversified Financials,19.2962711870896,32.0852608230289,66.28%
36,XNTK,Information Technology,Software,37.9306801738689,139.050088627875,266.59%
37,RWR,Real Estate,Real Estate,66.7764102719837,77.4546307121631,15.99%
38,VAW,Materials,Chemicals,79.7100872575382,148.206763257535,85.93%
39,VCR,Consumer Discretionary,Internet & Catalog Retail,108.535926819365,267.421883677191,146.39%
40,VDC,Consumer Staples,Beverages Tobacco,103.608458611409,160.825082422031,55.22%
41,VFH,Financials,Diversified Financials,39.9010138734597,67.907651620281,70.19%
42,VGT,Information Technology,Software,97.9391733889605,344.883428716087,252.14%
43,VHT,Health Care,Biotechnology Life Sciences,115.711645075639,214.270074613688,85.18%
44,VPU,Utilities,Electric Utilities,72.1976947380449,123.916296662789,71.63%
45,VTI,N/A,Internet Software & IT Services,89.0835204645203,185.400117534912,108.12%
46,VXF,N/A,Software,73.7953324759398,158.31087291442,114.53%
47,VDE,Energy,Oil & Gas Exploration & Production ,62.0469309475158,45.7592521691567,-26.25%
48,VIS,Industrials,Aerospace & Defense ,87.0678683276742,162.534795146656,86.68%
49,VNQ,Real Estate,Real Estate,56.7896785498206,75.6076182470779,33.14%
50,VOX,N/A,Internet Software & IT Services,71.9531681623675,116.5179549292,61.94%
51,ONEQ,N/A,Software,17.564739239225,48.9517681590876,178.69%
52,PBS,N/A,Media,23.0564387548795,44.423455084214,92.67%
53,PXQ,Information Technology,Software,31.4284821489074,81.4461004078043,159.15%
54,PSI,Information Technology,Semiconductors,7.93442468954734,34.5580838208878,335.55%
55,XSMO,N/A,Specialty Retail,22.1904756793922,46.19014723087,108.15%
56,PSJ,Information Technology,Software,12.6552373348741,47.5268899300529,275.55%
57,PBW,N/A,Electrical Equipment,19.6365814387318,94.7525139992745,382.53%
58,XSD,Information Technology,Semiconductors,41.2787073375321,169.207923358267,309.92%
59,XHB,N/A,Building Products,31.1572187579618,56.0686047724692,79.95%
60,KBE,Financials,Banks,27.0962160944568,38.1727724777644,40.88%
61,XRT,Consumer Discretionary,Specialty Retail,37.7361949065019,60.903603976226,61.39%
62,CSD,N/A,Chemicals,35.1621722223789,54.2544739967668,54.30%
63,CZA,N/A,Electric Utilities,42.3934121065868,73.1119958640114,72.46%
64,DEF,N/A,Biotechnology Life Sciences,30.6859243684202,56.7324986903265,84.88%
65,DES,N/A,Banks,16.7245473793186,24.3595033950853,45.65%
66,DHS,N/A,Beverages Tobacco,43.1591542725857,61.2792191415698,41.98%
67,DLN,N/A,Software,28.2748516580337,49.6564552067562,75.62%
68,DON,N/A,Banks,21.4964991637759,32.077346633348,49.22%
69,SLY,N/A,Banks,41.8232030172676,76.6325833278409,83.23%
70,DSI,N/A,Software,33.2144908335411,68.7411277244555,106.96%
71,DTD,N/A,Diversified Financials,28.392449666075,48.3753902763325,70.38%
72,DTN,N/A,Real Estate,N/A,N/A,nan%
73,EES,N/A,Banks,22.098243501571,37.211945423694,68.39%
74,SPLG,N/A,Internet Software & IT Services,20.1528534270453,41.8433566476868,107.63%
75,MDYG,N/A,Biotechnology Life Sciences,34.6353812330253,67.0566254870305,93.61%
76,SPMD,N/A,Real Estate,21.7597164649034,38.471449723885,76.80%
77,MDYV,N/A,Real Estate,31.7025232435997,52.3130461280935,65.01%
78,EPS,N/A,Internet Software & IT Services,19.5115414040514,37.9009959037548,94.25%
79,EVX,Industrials,Commercial & Professional Services,54.8085621728188,118.327609564369,115.89%
80,RESP,N/A,Internet Software & IT Services,20.2232744189442,39.132856508363,93.50%
81,EZM,N/A,Banks,25.396687757064,41.5907963941122,63.76%
82,QSY,N/A,Diversified Financials,N/A,N/A,nan%
83,FAB,N/A,Banks,34.9228107305573,55.1074217427946,57.80%
84,FAD,N/A,Software,46.8314586358931,102.415146180335,118.69%
85,FBT,Health Care,Biotechnology Life Sciences,108.438449292824,165.740834288977,52.84%
86,FDL,N/A,Beverages Tobacco,16.861675061418,25.7044476874458,52.44%
87,FDM,N/A,Banks,28.3838378267056,45.5346486222503,60.42%
88,FDN,Information Technology,Internet Software & IT Services,72.33,212.23,193.42%
89,FTCS,N/A,Beverages Tobacco,33.8117067125125,64.684568428492,91.31%
90,FEX,N/A,Diversified Financials,38.3505181941339,70.4238644508986,83.63%
91,FIW,N/A,Industrial Machinery,27.9720090308033,70.7455395743679,152.92%
92,FNX,N/A,Real Estate,43.27458593176,80.1682779157892,85.25%
93,FPX,N/A,Software,47.7504580564507,116.553952160659,144.09%
94,FRI,Real Estate,Real Estate,17.3963928726593,21.4909658914892,23.54%
95,FTA,N/A,Diversified Financials,32.4569676103183,51.5015491439987,58.68%
96,FTC,N/A,Software,45.2798133400379,95.0592992916207,109.94%
97,USRT,Real Estate,Real Estate,34.3871112744665,43.8828169798122,27.61%
98,FVD,N/A,Electric Utilities,19.6336724845327,32.7167121098282,66.64%
99,TUSA,N/A,Banks,21.8994121907199,38.3696255586479,75.21%
100,FXD,Consumer Discretionary,Media,31.2607840806964,49.5919698952187,58.64%
101,FXG,Consumer Staples,Food Products,38.4406991265659,49.1468724549172,27.85%
102,FXH,Health Care,Biotechnology Life Sciences,59.0942279208039,107.189092650694,81.39%
103,FXL,Information Technology,Software,31.6230768466333,110.776148697028,250.30%
104,FXN,Energy,Oil & Gas Exploration & Production ,11.5960410001144,7.38059954299871,-36.35%
105,FXO,Financials,Diversified Financials,18.8704049999498,31.5924078263368,67.42%
106,FXR,N/A,Industrial Machinery,24.0778622549242,48.9754720091211,103.40%
107,FXU,Utilities,Electric Utilities,17.774851234664,26.3897555842494,48.47%
108,FXZ,Materials,Chemicals,24.5777010655224,45.6397657411928,85.70%
109,FYX,N/A,Banks,39.8304444350572,74.36575634048,86.71%
110,IAI,Financials,Diversified Financials,34.9563516119241,74.9442996835687,114.39%
111,IAK,Financials,Insurance Brokers & Reinsurance,42.2539756633854,63.4766279396972,50.23%
112,IAT,Financials,Banks,27.358421490013,41.1442816758276,50.39%
113,IEO,Energy,Oil & Gas Exploration & Production ,43.2628626974545,32.2728170575661,-25.40%
114,IEZ,Energy,Oil & Gas Equipment & Services ,31.3189741467701,10.8765863229797,-65.27%
115,IHE,Health Care,Pharmaceuticals,46.7606676494893,56.6217169783794,21.09%
116,IHF,Health Care,Managed Health Care,22.7793064252153,45.8295663237,101.19%
117,IHI,Health Care,Health Crare Equipment & Technology,19.2690760856835,53.8202847245415,179.31%
118,ITA,Industrials,Aerospace & Defense ,53.3207766589988,91.8535942021753,72.27%
119,ITB,Consumer Discretionary,Homebuilding,25.1124847911716,54.6484231230706,117.61%
120,IWC,N/A,Banks,63.9730628573703,114.643945727767,79.21%
121,KCE,Financials,Diversified Financials,35.060077451682,70.4417064923171,100.92%
122,KIE,Financials,Insurance Brokers & Reinsurance,19.5664741729989,31.6179311552821,61.59%
123,KRE,Financials,Banks,33.3480235644198,47.5790934694659,42.67%
124,PBE,Health Care,Biotechnology Life Sciences,48.5431892068213,70.0885087179112,44.38%
125,PBJ,Consumer Staples,Food Products,28.2830292847701,34.1993289343514,20.92%
126,PDP,N/A,Software,39.4063653829152,86.926204724081,120.59%
127,PEJ,N/A,Restaurants,33.8411522712083,39.388295534883,16.39%
128,PEZ,Consumer Discretionary,Hotels Leisure & Consumer Services,41.1170816027453,74.9388266253517,82.26%
129,PFI,Financials,Diversified Financials,26.2194365178359,40.7614286854297,55.46%
130,PFM,N/A,Software,17.0664771687399,30.8940011167362,81.02%
131,PHO,N/A,Industrial Machinery,20.6469307130765,45.7681469903517,121.67%
132,SPHQ,N/A,Internet Software & IT Services,19.958491464764,40.0389138944453,100.61%
133,EQWL,N/A,Internet Software & IT Services,32.280794491653,64.1918743991527,98.85%
134,XMHQ,N/A,Banks,32.2735025361301,64.5220113292299,99.92%
135,PJP,Health Care,Pharmaceuticals,63.4175683464429,69.2445772248466,9.19%
136,PKB,N/A,Homebuilding,22.5704413846148,40.6827787346988,80.25%
137,PKW,N/A,Diversified Financials,40.2963351986949,70.718841857541,75.50%
138,PPA,Industrials,Aerospace & Defense ,32.5523946609694,66.2912162429025,103.64%
139,PRF,N/A,Diversified Financials,14.4875546968135,25.052265090576,72.92%
140,PRFZ,N/A,Banks,16.547461683041,28.9814707843799,75.14%
141,PRN,Industrials,Road & Rail,42.0006147018217,91.4776162632423,117.80%
142,PSL,Consumer Staples,Household & Personal Products,50.5278235749708,82.4885814750349,63.25%
143,PTF,Information Technology,Software,12.8198267555566,46.857819500243,265.51%
144,PTH,Health Care,Biotechnology Life Sciences,17.6866666666667,53.3566666666667,201.68%
145,PUI,Utilities,Electric Utilities,17.9683476073743,29.5521216187464,64.47%
146,PWB,N/A,Internet Software & IT Services,29.4509567538437,67.060408289073,127.70%
147,XMMO,N/A,Biotechnology Life Sciences,27.7605896967798,76.0548170504981,173.97%
148,XMVM,N/A,Banks,20.8262391347998,34.7806749707145,67.00%
149,PWV,N/A,Diversified Financials,23.7152794400776,35.8738451986693,51.27%
150,XSVM,N/A,Diversified Financials,19.2939338932005,33.233419033455,72.25%
151,PXE,Energy,Oil & Gas Exploration & Production ,17.0224972080727,9.29720577837197,-45.38%
152,PXI,Energy,Oil & Gas Exploration & Production ,29.0649868203849,16.5729678263973,-42.98%
153,PXJ,Energy,Oil & Gas Equipment & Services ,50.1797543874213,13.8392493975744,-72.42%
154,PYZ,Materials,Aluminum Steel,43.8581004351475,69.4421517878462,58.33%
155,QCLN,N/A,Semiconductors,15.0302613734968,69.5401735893929,362.67%
156,QQEW,N/A,Software,40.7189761882544,99.0499116614349,143.25%
157,QQXT,N/A,Biotechnology Life Sciences,38.8055381245298,77.2593738634012,99.09%
158,QTEC,Information Technology,Semiconductors,39.8847184612594,137.595407706979,244.98%
159,RCD,Consumer Discretionary,Hotels Leisure & Consumer Services,25.1543862257211,39.5602726606483,57.27%
160,REM,Financials,Diversified Financials,18.1275067920006,24.3051910960688,34.08%
161,REZ,Real Estate,Real Estate,47.5529540560393,62.2090930453926,30.82%
162,RFG,N/A,Biotechnology Life Sciences,23.2119312512796,39.7150284260728,71.10%
163,RFV,N/A,Banks,41.3871920463305,69.7612420591645,68.56%
164,RGI,Industrials,Commercial & Professional Services,N/A,N/A,nan%
165,RHS,Consumer Staples,Food Products,18.9988726741563,27.9615963837391,47.18%
166,RPG,N/A,Software,14.9896483254374,31.8387657898353,112.41%
167,RPV,N/A,Diversified Financials,40.4485382742026,56.994382382846,40.91%
168,RTM,Materials,Chemicals,12.8809187397013,26.1629065529924,103.11%
169,RYE,Energy,Oil & Gas Exploration & Production ,38.4127376535623,28.1829198857978,-26.63%
170,RYF,Financials,Diversified Financials,25.1967641261711,44.9628420987136,78.45%
171,RYH,Health Care,Health Crare Equipment & Technology,14.3587324838607,25.6287320474653,78.49%
172,RYT,Information Technology,Internet Software & IT Services,8.4030423117035,24.849394064343,195.72%
173,RYU,Utilities,Electric Utilities,28.2696575765524,45.958232433034,62.57%
174,RZG,N/A,Health Crare Equipment & Technology,24.3163462851321,44.3500750483255,82.39%
175,RZV,N/A,Banks,49.3149066923683,63.9282505948835,29.63%
176,SDY,N/A,Gas Utilities,56.3492110933774,97.1044416534624,72.33%
177,SPTM,N/A,Internet Software & IT Services,21.5022328621979,43.8803595359162,104.07%
178,VIG,N/A,Software,65.3495614089212,132.767225978425,103.16%
179,VOE,N/A,Real Estate,70.7083061117985,110.833858131533,56.75%
180,VOT,N/A,Software,92.5642275678235,207.720641324111,124.41%
181,VYM,N/A,Banks,50.9202545828848,82.91679610584,62.84%
182,XBI,Health Care,Biotechnology Life Sciences,67.1368654440465,140.714379666506,109.59%
183,XES,Energy,Oil & Gas Equipment & Services ,161.528164180723,43.5490695887188,-73.04%
184,XLG,N/A,Internet Software & IT Services,12.5149474184579,27.5178724883066,119.88%
185,XME,Materials,Aluminum Steel,13.2673261697007,32.2000655817241,142.70%
186,XOP,Energy,Oil & Gas Exploration & Production ,105.059353521698,54.2753604150372,-48.34%
187,XPH,Health Care,Pharmaceuticals,46.5022248746733,49.9018306348265,7.31%
188,MGV,N/A,Diversified Financials,46.9905603686445,80.0911868486049,70.44%
189,MGK,N/A,Internet Software & IT Services,75.805951041488,200.169678712523,164.06%
190,MGC,N/A,Internet Software & IT Services,59.4331323317121,127.362350394766,114.30%
191,CSM,N/A,Software,21.7586939103092,40.6489965389553,86.82%
192,RWJ,N/A,Specialty Retail,15.4625381330841,26.1149003002223,68.89%
193,SLYG,N/A,Health Crare Equipment & Technology,37.0440470343824,73.8164703505299,99.27%
194,PSR,Real Estate,Real Estate,57.7215577557617,79.3504425210519,37.47%
195,QABA,Financials,Banks,31.7445267335743,41.5068925604272,30.75%
196,RWL,N/A,Food & Stapes Retailing,33.6010606655214,59.1185370150975,75.94%
197,IWX,N/A,Diversified Financials,33.8163461149893,54.1491015887333,60.13%
198,RYJ,N/A,Banks,30.0338285918327,49.5758820698736,65.07%
199,SCHX,N/A,Internet Software & IT Services,20.7158714096441,43.3587401519028,109.30%
200,FCG,Energy,Oil & Gas Exploration & Production ,18.2537486074164,8.091382088283,-55.67%
201,IWY,N/A,Internet Software & IT Services,48.242633678152,130.048135060366,169.57%
202,SUSA,N/A,Internet Software & IT Services,46.4954347024507,78.8629983784239,69.61%
203,SLX,Materials,Aluminum Steel,14.2096054273141,38.4358682153391,170.49%
204,PNQI,N/A,Internet Software & IT Services,15.4544686735703,45.64,195.32%
205,PBP,N/A,Internet Software & IT Services,14.2142131199808,17.8220453819584,25.38%
206,SCHB,N/A,Internet Software & IT Services,20.9585180774285,43.3949042116422,107.05%
207,RWK,N/A,Computers Electronics,40.5309635188084,68.6202738367896,69.30%
208,IWL,N/A,Internet Software & IT Services,40.0856688807392,86.3929579588364,115.52%
209,SLYV,N/A,Banks,37.4233763382806,62.2033388941406,66.22%
210,SCHA,N/A,Banks,22.7603465517357,42.5978081752659,87.16%
211,PSCH,Health Care,Health Crare Equipment & Technology,22.7335711979927,55.54010133626,144.31%
212,PSCU,N/A,Multi-Utilities Water Utilities Power,32.7081447887366,50.6051600847863,54.72%
213,PSCT,Information Technology,Computers Electronics,16.7912845633526,40.809071444901,143.04%
214,SCHV,N/A,Diversified Financials,33.473376196694,55.1788525552124,64.84%
215,PSCI,Industrials,Industrial Machinery,39.3974088701196,77.6871474288274,97.19%
216,PSCM,Materials,Specialty Chemicals ,28.0367341886366,55.6553866067427,98.51%
217,SCHG,N/A,Internet Software & IT Services,24.4044389790075,63.1853805598635,158.91%
218,PSCD,Consumer Discretionary,Specialty Retail,41.0991437221023,78.4835558752271,90.96%
219,PSCC,Consumer Staples,Household & Personal Products,15.7614109337778,27.7186814492976,75.86%
220,PSCE,Energy,Oil & Gas Exploration & Production ,72.1935346913238,20.8106726861358,-71.17%
221,EUSA,N/A,Software,36.1177777586612,68.6642233526529,90.11%
222,PSCF,N/A,Banks,29.9933569434534,44.7183535467686,49.09%
223,KBWY,Real Estate,Real Estate,16.0778428185336,16.3208259651674,1.51%
224,KBWD,Financials,Diversified Financials,9.44719258527951,11.9016953895218,25.98%
225,VOOG,N/A,Internet Software & IT Services,92.8144488574284,223.727438689516,141.05%
226,VIOG,N/A,Health Crare Equipment & Technology,47.72368477788,95.1257291796062,99.33%
227,AMLP,Energy,Coal & Consumable Fuels ,29.8768332837706,19.6660863664441,-34.18%
228,IVOO,N/A,Real Estate,41.2303129039899,74.4430628348466,80.55%
229,IVOG,N/A,Biotechnology Life Sciences,45.0465285011582,87.0270720396985,93.19%
230,VIOV,N/A,Banks,39.8262542059755,66.1159516729766,66.01%
231,VOOV,N/A,Diversified Financials,69.8381067342401,115.893265793215,65.95%
232,VOO,N/A,Internet Software & IT Services,159.139011777819,327.138715160734,105.57%
233,IVOV,N/A,Real Estate,37.9321040720501,62.4057941078686,64.52%
234,EWMC,N/A,Real Estate,42.3765372122476,74.007280544449,74.64%
235,KBWP,Financials,Insurance Brokers & Reinsurance,38.8454397546447,63.3152947087905,62.99%
236,SCHM,N/A,Real Estate,34.9390147358465,64.9897019939655,86.01%
237,VIOO,N/A,Banks,43.773505076519,80.4455029089793,83.78%
238,SCHH,Real Estate,Real Estate,15.6134515180993,17.5056102128106,12.12%
239,XTN,Industrials,Road & Rail,38.8240303345954,69.177206139361,78.18%
240,VONG,N/A,Internet Software & IT Services,23.0238575451233,60.4012836416957,162.34%
241,VONV,N/A,Diversified Financials,34.9769887354985,56.0452103646721,60.23%
242,XHE,Health Care,Health Crare Equipment & Technology,42.4971053877421,113.758502864761,167.69%
243,XTL,N/A,Communications Equipment,49.6678657446557,82.1282470618371,65.35%
244,HDV,N/A,Beverages Tobacco,53.7559046526004,77.7933323051843,44.72%
245,VTWG,N/A,Biotechnology Life Sciences,92.8021725793261,203.910258831754,119.73%
246,VONE,N/A,Internet Software & IT Services,80.4413492681991,167.280598118142,107.95%
247,SPGP,N/A,Biotechnology Life Sciences,30.4988152320566,69.4404924005202,127.68%
248,SPLV,N/A,Food Products,31.7168919692108,52.4003905343351,65.21%
249,FNY,N/A,Software,27.7703234852374,65.0481424403959,134.24%
250,SPVM,N/A,Diversified Financials,23.0611963514999,37.9152913360895,64.41%
251,FNK,N/A,Banks,22.8613583439587,33.9410460119566,48.46%
252,USMV,N/A,Internet Software & IT Services,35.3405709904111,64.3264599855552,82.02%
253,SCHD,N/A,Beverages Tobacco,29.2003334521235,57.4877194229858,96.87%
254,XHS,Health Care,Health Care Providers (non-HMO),54.2997162863857,96.1102026738927,77.00%
255,KBWB,Financials,Banks,29.6512338224673,45.7517258021643,54.30%
256,XSW,Information Technology,Software,47.5174679289567,153.403825823288,222.84%
257,KBWR,Financials,Banks,32.417784240694,43.3104194923207,33.60%
258,DBLV,N/A,Banks,48.5157202227865,77.0927321233827,58.90%
259,XAR,Industrials,Aerospace & Defense ,48.7873750672622,112.452411225858,130.49%
260,SMH,Information Technology,Semiconductors,24.1964511444198,106.746064216577,341.16%
261,PPH,Health Care,Pharmaceuticals,54.7105482525265,62.5655690041591,14.36%
262,RTH,N/A,Specialty Retail,69.786948274655,152.387580812012,118.36%
263,OIH,Energy,Oil & Gas Equipment & Services ,469.469679351554,148.860860367729,-68.29%
264,BBH,Health Care,Biotechnology Life Sciences,119.824026012344,167.8072308638,40.04%
265,MOAT,N/A,Software,25.971061231574,60.0354319064058,131.16%
266,MLPA,Energy,Coal & Consumable Fuels ,31.0803867942274,21.1541304653819,-31.94%
267,QQQE,N/A,Software,28.785721588586,70.8564950875787,146.15%
268,GURU,N/A,Biotechnology Life Sciences,21.5571177206396,43.4227301923529,101.43%
269,EMLP,N/A,Coal & Consumable Fuels ,14.6410230812145,18.6814918836509,27.60%
270,VTHR,N/A,Internet Software & IT Services,80.3070692306161,166.190608143298,106.94%
271,VTWO,N/A,Biotechnology Life Sciences,39.5252253032042,75.7268469101275,91.59%
272,EWSC,N/A,Banks,35.9724506885463,62.5476058907686,73.88%
273,ALFA,N/A,Internet Software & IT Services,36.0672717586395,76.7545,112.81%
274,ROOF,Real Estate,Real Estate,16.0750909774892,19.1903902762455,19.38%
275,MORT,Financials,Diversified Financials,9.03642467394081,11.8311068795021,30.93%
276,AMJ,Energy,Coal & Consumable Fuels ,15.9061251910826,11.1154743880963,-30.12%
277,VTWV,N/A,Banks,67.1827122537966,108.586247281696,61.63%
278,SPHB,N/A,Hotels Leisure & Consumer Services,25.8558959650369,55.2008981400058,113.49%
279,SDOG,N/A,Coal & Consumable Fuels ,25.7798369874504,39.1491736226708,51.86%
280,DWAS,N/A,Biotechnology Life Sciences,34.9180627592248,73.4220627453869,110.27%
281,TDIV,Information Technology,Semiconductors,20.6948463610478,46.3819010685269,124.12%
282,DWPP,N/A,Internet Software & IT Services,22.5444329638789,27.6866303555333,22.81%
283,SPHD,N/A,Electric Utilities,23.3934297631072,32.8536009710147,40.44%
284,MMTM,N/A,Internet Software & IT Services,76.0678179185554,155.398423605534,104.29%
285,VLU,N/A,Diversified Financials,63.2351168064994,113.304172441752,79.18%
286,QDEF,N/A,Software,26.4594060778671,44.6385012341398,68.71%
287,QDF,N/A,Software,27.2988051197569,46.0293645429138,68.61%
288,QDYN,N/A,Software,26.5107962600213,48.2463869190236,81.99%
289,BIZD,Financials,Diversified Financials,6.99267796532534,9.86883266120747,41.13%
290,XMLV,N/A,Real Estate,28.4406849847714,45.1556073178456,58.77%
291,XSLV,N/A,Real Estate,27.1777811850622,37.9733870510129,39.72%
292,SMLV,N/A,Banks,54.7874771071981,88.3013128693901,61.17%
293,LGLV,N/A,Real Estate,59.5210634563224,112.512930576657,89.03%
294,DIV,N/A,Coal & Consumable Fuels ,13.6189800894921,13.7048292846595,0.63%
295,MTUM,N/A,Diversified Financials,64.7181601982577,154.963920265903,139.44%
296,SIZE,N/A,Software,54.9673378016626,105.978302716923,92.80%
297,VLUE,N/A,Semiconductors,49.2105435915952,79.4602517948193,61.47%
298,SYLD,N/A,Banks,23.6154581739707,41.3077938711205,74.92%
299,DGRW,N/A,Pharmaceuticals,25.1157864136943,50.6001349846989,101.47%
300,BFOR,N/A,Banks,27.1890887369714,47.8839736024859,76.11%
301,SPSM,N/A,Banks,26.4545322783978,34.0752518828903,28.81%
302,QUAL,N/A,Internet Software & IT Services,55.4874992985443,111.137316456613,100.29%
303,DGRS,N/A,Banks,21.2891777601573,36.4203072601667,71.07%
304,MLPX,Energy,Coal & Consumable Fuels ,21.7666767558096,22.4285417885629,3.04%
305,FNDA,N/A,Real Estate,24.4609239752876,41.0815346010619,67.95%
306,FNDX,N/A,Diversified Financials,23.6750012175892,42.5325885765822,79.65%
307,FNDB,N/A,Diversified Financials,23.5664492792645,42.2260600241557,79.18%
308,RDIV,N/A,Electric Utilities,19.6604533548217,29.8338925608524,51.75%
309,NOBL,N/A,Health Crare Equipment & Technology,40.792332338947,74.7867223397339,83.34%
310,IPO,N/A,Software,19.9089624189729,64.49,223.92%
311,FHLC,Health Care,Biotechnology Life Sciences,30.1094105646297,55.2558062482231,83.52%
312,FCOM,N/A,Internet Software & IT Services,21.3269746795522,44.2030307747885,107.26%
313,FTEC,Information Technology,Software,29.6230068617244,101.82371319383,243.73%
314,FIDU,Industrials,Aerospace & Defense ,23.4490368377603,44.9050412023628,91.50%
315,FENY,Energy,Oil & Gas Exploration & Production ,12.4306281410622,9.01114171467245,-27.51%
316,FNCL,Financials,Diversified Financials,23.1550743065505,39.4527446319498,70.38%
317,FUTY,Utilities,Electric Utilities,21.4275225043315,36.7741599409755,71.62%
318,FMAT,Materials,Chemicals,20.3669608937442,37.8477464281185,85.83%
319,FDIS,Consumer Discretionary,Internet & Catalog Retail,27.6456583924728,69.6749437300526,152.03%
320,FSTA,Consumer Staples,Beverages Tobacco,24.1064132745504,37.5679842791182,55.84%
321,RDVY,N/A,Diversified Financials,17.726631226181,37.6013485102444,112.12%
322,VUSE,N/A,Health Care Providers (non-HMO),21.7421522054164,33.4252791016815,53.73%
323,DDIV,N/A,Banks,16.2976082775648,22.4866656106166,37.98%
324,AIRR,Industrials,Construction & Engineering,15.9083509729677,33.7855129184934,112.38%
325,DGRO,N/A,Pharmaceuticals,20.7943743602175,41.5402036770718,99.77%
326,CFA,N/A,Diversified Financials,31.1850468451025,59.4848743293055,90.75%
327,CDC,N/A,Electric Utilities,26.8057251701436,48.0748911892654,79.35%
328,CFO,N/A,Diversified Financials,30.5747168397632,57.9582745401736,89.56%
329,CSF,N/A,Banks,29.7487468503854,47.3108841823,59.03%
330,DEEP,N/A,Banks,17.614287978761,26.5235222233553,50.58%
331,ARKW,N/A,Internet Software & IT Services,19.1464886726799,146.117234301212,663.15%
332,AMZA,Energy,Coal & Consumable Fuels ,30.9808843497069,13.8573987212813,-55.27%
333,QVAL,N/A,Homebuilding,19.3210690671036,26.5093857236393,37.20%
334,ARKK,N/A,Biotechnology Life Sciences,18.5007262823463,122.774337778286,563.62%
335,BBC,Health Care,Biotechnology Life Sciences,27.0100437223589,49.4071635479059,82.92%
336,BBP,Health Care,Biotechnology Life Sciences,29.7159777422488,53.21,79.06%
337,EQAL,N/A,Real Estate,20.2844165598325,36.8183799187904,81.51%
338,SBIO,Health Care,Biotechnology Life Sciences,29.1797468615342,51.1125030339257,75.16%
339,SMDV,N/A,Banks,32.8582218372579,52.9818580598638,61.24%
340,REGL,N/A,Insurance Brokers & Reinsurance,32.3076776397674,58.0803884504618,79.77%
341,FREL,Real Estate,Real Estate,16.3502134605735,22.7706291198206,39.27%
342,ROUS,N/A,Software,19.8579822334674,33.1300308408797,66.83%
343,ROSC,N/A,Real Estate,18.6722728775109,29.5962576247383,58.50%
344,XRLV,N/A,Internet Software & IT Services,21.4461052645235,38.7529577126922,80.70%
345,FFTY,N/A,Diversified Financials,20.8269639533438,39.6113492411104,90.19%
346,QUS,N/A,Internet Software & IT Services,50.1450807654322,99.7088271910095,98.84%
347,SMLF,N/A,Health Crare Equipment & Technology,25.8331227205212,43.9940715276317,70.30%
348,LRGF,N/A,Software,20.3683626648491,35.8889989749432,76.20%
